    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    29.43          708.006        7         0.482095         0.423411      5.57m
   1     7.22          1.65617        7         0.419194         0.648396      3.92m
   2     5.69          1.09175        7         0.411051         0.932855      3.95m
   3     5.33          1.10779        7         0.411205         0.471095      3.76m
   4     3.86         0.886544        3         0.394689          1.06574      3.68m
   5     3.39           1.3111        7         0.380938         0.716593      3.63m
   6     3.32          1.14169        7         0.370736         0.786694      3.37m
   7     3.35         0.763509        7         0.393458         0.602396      3.39m
   8     3.42          23.8926        7         0.386266         0.660729      3.56m
   9     3.37          1.52884        7         0.383294         0.684839      3.39m
  10     3.29          1.10976        7          0.38019         0.710008      3.37m
  11     3.45          1.94816        7         0.376774         0.737719      3.34m
  12     3.48          1.02122        7         0.387685         0.649222      3.56m
  13     3.46         0.791346        7         0.374018          0.78496      3.40m
  14     3.60          1.46384        7         0.370122         0.791674      3.44m
  15     3.64         0.956848        7         0.379607         0.739622      3.51m
  16     3.67          0.97363        7         0.362742         0.876417      3.29m
  17     3.83          1.05298        7         0.379609         0.714727      3.28m
  18     4.00          2.05369        7         0.369255         0.798704      3.29m
  19     4.24         0.898592        7         0.365972         0.825339      3.47m
  20     4.53          0.95891        7         0.359995         0.873817      3.26m
  21     4.74          1.34306        7         0.374936         0.752629      3.25m
  22     4.95          1.01277        7          0.36426         0.839224      3.31m
  23     5.23          1.09606        7         0.359266          0.90461      3.51m
  24     5.35          12.7908        7         0.363036         0.849154      3.31m
  25     5.53          1.81834        7         0.356434         0.902698      3.25m
  26     5.90          1.01618        7         0.364668         0.835913      3.45m
  27     5.99          1.03456        7         0.369232         0.798894      3.27m
  28     6.14          2.23301        7         0.355073          0.91374      3.24m
  29     6.17          1.45296        7          0.36646         0.821377      3.25m
  30     6.27         0.977963        7         0.369143         0.799619      3.50m
  31     6.29          1.09708        7         0.355505         0.910237      3.30m
  32     6.36          1.25257        7         0.365073         0.832631      3.22m
  33     6.29          2.05912        7         0.361634         0.885408      3.17m
  34     6.27          0.91628        7         0.366566         0.820518      3.14m
  35     6.23           1.2342        7         0.363277         0.847193      3.38m
  36     6.25          1.16101        7         0.353212         0.953714      3.17m
  37     6.45          1.12594        7         0.359997         0.873796      3.11m
  38     6.43           1.2172        7         0.364284         0.839029      3.09m
  39     6.42          3.72894        7         0.356786         0.899844      3.27m
  40     6.43          1.80105        7         0.356026         0.906008      3.14m
  41     6.33         0.989564        7          0.35361         0.925605      3.16m
  42     6.24         0.950274        7         0.362308         0.855052      3.07m
  43     6.37          1.15212        7         0.366559         0.820578      3.22m
