Mean Squared Error (MSE):0.20076287376720436
Root Mean Squared Error (RMSE):0.44806570251158967
Mean Absolute Error (MAE):0.36104998809786937
R-squared (R2):0.5862998282853131



torch.Size([82, 5]) torch.Size([82, 1])
    |   Population Average    |             Best Individual              
---- ------------------------- ------------------------------------------ 
 Gen   Length          Fitness   Length          Fitness      OOB Fitness 
   0    11.35           9950.9        9           0.2451         0.342813 
   1     7.47          127.128        9         0.249977         0.303262 
   2     6.75          577.661        9          0.21411         0.685161 
   3     4.49          408.205       12         0.206605         0.352508 
   4     4.85          255.677       10         0.198687          0.27703 
   5     6.43          98.0056       10         0.181492         0.416502 
   6     7.58           177.95       10         0.167899         0.526752 
   7     7.96          83.0352       10         0.169345         0.515026 
   8     8.60          128.894       10         0.154028         0.639265 
   9     9.25          64.0367       11         0.148284         0.426728 
  10     9.80          46.7528       11         0.145097          0.45258 
  11    10.02          50.1749       11         0.148251         0.426997 
  12    10.42          39.4016       11         0.147028         0.436915 
  13    10.60           56.609       11          0.14512         0.440014 
  14    10.62          104.626       11         0.144219         0.459703 
  15    10.77          40.0271       11         0.138613         0.473639 
  16    10.75           45.673       11         0.145189         0.420298 
  17    10.79          55.8888       11         0.136556         0.509477 
  18    10.92          174.764       13         0.140833         0.410409 
  19    11.00          48.6619       11         0.146276         0.411483 
mul(tan(cos(min(X0, X1))), tan(cos(sub(X0, X3))))



